locus_tag	ftype	length_bp	gene	EC_number	COG	product
GKLDPBFD_01244	CDS	957	rhaS_2			HTH-type transcriptional activator RhaS
GKLDPBFD_01245	CDS	1164	yqhD	1.1.1.-	COG1979	Alcohol dehydrogenase YqhD
GKLDPBFD_01246	CDS	828	dkgA	1.1.1.274	COG0656	2,5-diketo-D-gluconic acid reductase A
GKLDPBFD_01247	CDS	927				hypothetical protein
GKLDPBFD_01248	CDS	258	lpp1			Major outer membrane lipoprotein Lpp 1
GKLDPBFD_01249	CDS	2220				hypothetical protein
GKLDPBFD_01250	CDS	1413	ftsP		COG2132	Cell division protein FtsP
GKLDPBFD_01251	CDS	738	plsC	2.3.1.51	COG0204	1-acyl-sn-glycerol-3-phosphate acyltransferase
GKLDPBFD_01252	CDS	2259	parC	5.6.2.2	COG0188	DNA topoisomerase 4 subunit A
GKLDPBFD_01253	CDS	1608	ygiS		COG4166	putative deoxycholate-binding periplasmic protein YgiS
GKLDPBFD_01254	CDS	396	mqsA		COG1396	Antitoxin MqsA
GKLDPBFD_01255	CDS	297	mqsR	3.1.-.-		mRNA interferase toxin MqsR
GKLDPBFD_01256	CDS	483	sbmC_2			DNA gyrase inhibitor
GKLDPBFD_01257	CDS	393	ygiW_1		COG3111	Protein YgiW
GKLDPBFD_01258	CDS	660	qseB			Transcriptional regulatory protein QseB
GKLDPBFD_01259	CDS	1350	qseC	2.7.13.3		Sensor protein QseC
GKLDPBFD_01260	CDS	582	mdaB	1.6.5.10	COG2249	NADPH:quinone oxidoreductase MdaB
GKLDPBFD_01261	CDS	315	ygiN	1.-.-.-	COG1359	putative quinol monooxygenase YgiN
GKLDPBFD_01262	CDS	621	yicJ_1		COG2211	Inner membrane symporter YicJ
GKLDPBFD_01263	CDS	681	yagG		COG2211	Putative glycoside/cation symporter YagG
GKLDPBFD_01264	CDS	753	dasR		COG2188	HTH-type transcriptional repressor DasR
GKLDPBFD_01265	CDS	1077				hypothetical protein
GKLDPBFD_01266	CDS	999				hypothetical protein
GKLDPBFD_01267	CDS	915	rbsK_1	2.7.1.15	COG0524	Ribokinase
GKLDPBFD_01268	CDS	1125				hypothetical protein
GKLDPBFD_01269	CDS	696				hypothetical protein
GKLDPBFD_01270	CDS	870				hypothetical protein
GKLDPBFD_01271	CDS	1893	parE	5.6.2.2	COG0187	DNA topoisomerase 4 subunit B
GKLDPBFD_01272	CDS	582				hypothetical protein
GKLDPBFD_01273	CDS	828	cpdA	3.1.4.53	COG1409	3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
GKLDPBFD_01274	CDS	423				hypothetical protein
GKLDPBFD_01275	CDS	630	nudF	3.6.1.13		ADP-ribose pyrophosphatase
GKLDPBFD_01276	CDS	1482	tolC		COG1538	Outer membrane protein TolC
GKLDPBFD_01277	CDS	672				hypothetical protein
GKLDPBFD_01278	CDS	1161	ygiC	6.3.1.-	COG0754	Putative acid--amine ligase YgiC
GKLDPBFD_01279	CDS	816	ygiD	1.13.11.29	COG3384	4,5-DOPA dioxygenase extradiol
GKLDPBFD_01280	CDS	774	zupT		COG0428	Zinc transporter ZupT
GKLDPBFD_01281	CDS	171	yqiD			Protein YqiD
GKLDPBFD_01282	CDS	654	ribB	4.1.99.12	COG0108	3,4-dihydroxy-2-butanone 4-phosphate synthase
GKLDPBFD_01283	CDS	291	ubiK		COG2960	Ubiquinone biosynthesis accessory factor UbiK
GKLDPBFD_01284	CDS	552	ybgD_1			putative fimbrial-like protein YbgD
GKLDPBFD_01285	CDS	2514	papC_2		COG3188	Outer membrane usher protein PapC
GKLDPBFD_01286	CDS	750	papD_1		COG3121	Chaperone protein PapD
GKLDPBFD_01287	CDS	1065				hypothetical protein
GKLDPBFD_01288	CDS	201	glgS			Surface composition regulator
GKLDPBFD_01289	CDS	630	yqiJ			Inner membrane protein YqiJ
GKLDPBFD_01290	CDS	1662	yqiK		COG2268	Inner membrane protein YqiK
GKLDPBFD_01291	CDS	1434	hldE		COG2870	Bifunctional protein HldE
GKLDPBFD_01292	CDS	2841	glnE		COG1391	Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme
GKLDPBFD_01293	CDS	1302	ygiF	3.6.1.25	COG3025	Inorganic triphosphatase
GKLDPBFD_01294	CDS	621				hypothetical protein
GKLDPBFD_01295	CDS	1239	cca		COG0617	Multifunctional CCA protein
GKLDPBFD_01296	CDS	822	uppP	3.6.1.27	COG1968	Undecaprenyl-diphosphatase
GKLDPBFD_01297	CDS	369	folB	4.1.2.25	COG1539	Dihydroneopterin aldolase
GKLDPBFD_01298	CDS	618	plsY	2.3.1.15	COG0344	putative glycerol-3-phosphate acyltransferase
GKLDPBFD_01299	CDS	933	dmlR_2			HTH-type transcriptional regulator DmlR
GKLDPBFD_01300	CDS	912	ttdA	4.2.1.32	COG1951	L(+)-tartrate dehydratase subunit alpha
GKLDPBFD_01301	CDS	606	ttdB	4.2.1.32	COG1838	L(+)-tartrate dehydratase subunit beta
GKLDPBFD_01302	CDS	1464	ttdT_1		COG0471	L-tartrate/succinate antiporter
GKLDPBFD_01303	CDS	1014	tsaD	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
GKLDPBFD_01304	CDS	216	rpsU		COG0828	30S ribosomal protein S21
GKLDPBFD_01305	CDS	1746	dnaG	2.7.7.-	COG0358	DNA primase
GKLDPBFD_01306	CDS	1842	rpoD		COG0568	RNA polymerase sigma factor RpoD
GKLDPBFD_01307	CDS	507	mug	3.2.2.28	COG3663	G/U mismatch-specific DNA glycosylase
GKLDPBFD_01308	tRNA	76				tRNA-Met(cat)
GKLDPBFD_01309	CDS	765	yqjH	1.16.1.9	COG2375	NADPH-dependent ferric-chelate reductase
GKLDPBFD_01310	CDS	624	yqjI		COG1695	Transcriptional regulator YqjI
GKLDPBFD_01311	CDS	1521	aer		COG0840	Aerotaxis receptor
GKLDPBFD_01312	CDS	1290	patA	2.6.1.82	COG4992	Putrescine aminotransferase
GKLDPBFD_01313	CDS	333	ygjH		COG0073	tRNA-binding protein YgjH
GKLDPBFD_01314	CDS	984	melR_1		COG1609	HTH-type transcriptional repressor MelR
GKLDPBFD_01315	CDS	3093	ebgA	3.2.1.23	COG3250	Evolved beta-galactosidase subunit alpha
GKLDPBFD_01316	CDS	450	ebgC		COG2731	Evolved beta-galactosidase subunit beta
GKLDPBFD_01317	CDS	1434	ygjI		COG0531	Inner membrane transporter YgjI
GKLDPBFD_01318	CDS	1071				hypothetical protein
GKLDPBFD_01319	CDS	2352	ygjK	3.2.1.-		Glucosidase YgjK
GKLDPBFD_01320	CDS	2019	fadH	1.3.1.34	COG0446	2,4-dienoyl-CoA reductase
GKLDPBFD_01321	CDS	417	higA_2		COG5499	Antitoxin HigA
GKLDPBFD_01322	CDS	1137	rlmG	2.1.1.174	COG2813	Ribosomal RNA large subunit methyltransferase G
GKLDPBFD_01323	CDS	504	ygjP	3.6.1.-	COG1451	UTP pyrophosphatase
GKLDPBFD_01324	CDS	684				hypothetical protein
GKLDPBFD_01325	CDS	987	iolU	1.1.1.371	COG0673	scyllo-inositol 2-dehydrogenase (NADP(+)) IolU
GKLDPBFD_01326	CDS	966	alx		COG0861	Putative membrane-bound redox modulator Alx
GKLDPBFD_01327	CDS	1245	sstT		COG3633	Serine/threonine transporter SstT
GKLDPBFD_01328	CDS	552	ygjV			Inner membrane protein YgjV
GKLDPBFD_01329	CDS	1488	uxaA	4.2.1.7	COG2721	Altronate dehydratase
GKLDPBFD_01330	CDS	1413	uxaC	5.3.1.12	COG1904	Uronate isomerase
GKLDPBFD_01331	CDS	585	exuT			Hexuronate transporter
GKLDPBFD_01332	CDS	366	cfaB			CFA/I fimbrial subunit B
GKLDPBFD_01333	CDS	717				hypothetical protein
GKLDPBFD_01334	CDS	777	lldR_1		COG2186	Putative L-lactate dehydrogenase operon regulatory protein
GKLDPBFD_01335	CDS	663	yqjA		COG0586	Inner membrane protein YqjA
GKLDPBFD_01336	CDS	384	mzrA			Modulator protein MzrA
GKLDPBFD_01337	CDS	369	yqjC			Protein YqjC
GKLDPBFD_01338	CDS	306	yqjD		COG4575	putative protein YqjD
GKLDPBFD_01339	CDS	405	yqjE		COG5393	Inner membrane protein YqjE
GKLDPBFD_01340	CDS	300				hypothetical protein
GKLDPBFD_01341	CDS	483	yqjF		COG2259	Inner membrane protein YqjF
GKLDPBFD_01342	CDS	987	yqjG	1.8.5.7	COG0435	Glutathionyl-hydroquinone reductase YqjG
GKLDPBFD_01343	CDS	366	yhaH		COG3152	Inner membrane protein YhaH
GKLDPBFD_01344	CDS	357	yhaI		COG3152	Inner membrane protein YhaI
GKLDPBFD_01345	CDS	897	yhaJ_2			HTH-type transcriptional regulator YhaJ
GKLDPBFD_01346	CDS	702	yhaK		COG1741	Pirin-like protein YhaK
GKLDPBFD_01347	CDS	165				hypothetical protein
GKLDPBFD_01348	CDS	1311				hypothetical protein
GKLDPBFD_01349	CDS	1332	dlsT		COG0814	putative serine transporter
GKLDPBFD_01350	CDS	1365	tdcG	4.3.1.17	COG1760	L-serine dehydratase TdcG
GKLDPBFD_01351	CDS	390	tdcF	3.5.4.-	COG0251	Putative reactive intermediate deaminase TdcF
GKLDPBFD_01352	CDS	2295	tdcE	2.3.1.-	COG1882	PFL-like enzyme TdcE
GKLDPBFD_01353	CDS	1209	tdcD	2.7.2.15	COG0282	Propionate kinase
GKLDPBFD_01354	CDS	1332	tdcC		COG0814	Threonine/serine transporter TdcC
GKLDPBFD_01355	CDS	990	tdcB	4.3.1.19	COG1171	L-threonine dehydratase catabolic TdcB
GKLDPBFD_01356	CDS	939	tsaR_1			HTH-type transcriptional regulator TsaR
GKLDPBFD_01357	CDS	540				hypothetical protein
GKLDPBFD_01358	CDS	1188				hypothetical protein
GKLDPBFD_01359	CDS	1146	garK	2.7.1.165	COG1929	Glycerate 2-kinase
GKLDPBFD_01360	CDS	891	garR	1.1.1.60	COG2084	2-hydroxy-3-oxopropionate reductase
GKLDPBFD_01361	CDS	771	garL	4.1.2.20	COG3836	5-keto-4-deoxy-D-glucarate aldolase
GKLDPBFD_01362	CDS	1335	garP			putative galactarate transporter
GKLDPBFD_01363	CDS	1572	garD	4.2.1.42	COG2721	Galactarate dehydratase (L-threo-forming)
GKLDPBFD_01364	CDS	336	prlF		COG2002	Antitoxin PrlF
GKLDPBFD_01365	CDS	465	yhaV	3.1.-.-		Ribonuclease toxin YhaV
GKLDPBFD_01366	CDS	810	srlR_4		COG1349	Glucitol operon repressor
GKLDPBFD_01367	CDS	1281	kbaZ		COG4573	D-tagatose-1,6-bisphosphate aldolase subunit KbaZ
GKLDPBFD_01368	CDS	474	levE	2.7.1.202	COG3444	PTS system fructose-specific EIIB component
GKLDPBFD_01369	CDS	780	agaC_1		COG3715	N-acetylgalactosamine permease IIC component 1
GKLDPBFD_01370	CDS	879	manZ_2		COG3716	PTS system mannose-specific EIID component
GKLDPBFD_01371	CDS	435	manX_2	2.7.1.191	COG2893	PTS system mannose-specific EIIAB component
GKLDPBFD_01372	CDS	1134	agaA	3.5.1.-	COG1820	N-acetylgalactosamine-6-phosphate deacetylase
GKLDPBFD_01373	CDS	1155	agaS	3.5.99.-	COG2222	Putative D-galactosamine-6-phosphate deaminase AgaS
GKLDPBFD_01374	CDS	861	kbaY	4.1.2.40	COG0191	D-tagatose-1,6-bisphosphate aldolase subunit KbaY
GKLDPBFD_01375	CDS	477	sorB_1	2.7.1.206	COG3444	PTS system sorbose-specific EIIB component
GKLDPBFD_01376	CDS	804	agaC_2		COG3715	N-acetylgalactosamine permease IIC component 1
GKLDPBFD_01377	CDS	792	manZ_3		COG3716	PTS system mannose-specific EIID component
GKLDPBFD_01378	CDS	702	nagB_1	3.5.99.6	COG0363	Glucosamine-6-phosphate deaminase 1
GKLDPBFD_01379	CDS	585	yraH			putative fimbrial-like protein YraH
GKLDPBFD_01380	CDS	696	yraI			putative fimbrial chaperone YraI
GKLDPBFD_01381	CDS	2517	yraJ		COG3188	Outer membrane usher protein YraJ
GKLDPBFD_01382	CDS	1092	yraK			putative fimbrial-like protein YraK
GKLDPBFD_01383	CDS	861	rsmI	2.1.1.198	COG0313	Ribosomal RNA small subunit methyltransferase I
GKLDPBFD_01384	CDS	2037	lpoA		COG3107	Penicillin-binding protein activator LpoA
GKLDPBFD_01385	CDS	396				hypothetical protein
GKLDPBFD_01386	CDS	591	diaA		COG0279	DnaA initiator-associating protein DiaA
GKLDPBFD_01387	CDS	576	osmY_1		COG2823	Osmotically-inducible protein Y
GKLDPBFD_01388	CDS	1041				hypothetical protein
GKLDPBFD_01389	CDS	636				hypothetical protein
GKLDPBFD_01390	CDS	519	yhbO	3.1.2.-	COG0693	Protein/nucleic acid deglycase 2
GKLDPBFD_01391	CDS	444				hypothetical protein
GKLDPBFD_01392	CDS	312				hypothetical protein
GKLDPBFD_01393	CDS	504				hypothetical protein
GKLDPBFD_01394	CDS	525	ubiJ_1			Ubiquinone biosynthesis accessory factor UbiJ
GKLDPBFD_01395	CDS	996	yhbU	3.4.-.-	COG0826	putative protease YhbU
GKLDPBFD_01396	CDS	879				hypothetical protein
GKLDPBFD_01397	CDS	1008				hypothetical protein
GKLDPBFD_01398	CDS	1245	mtr		COG0814	Tryptophan-specific transport protein
GKLDPBFD_01399	CDS	1890	deaD	3.6.4.13	COG0513	ATP-dependent RNA helicase DeaD
GKLDPBFD_01400	CDS	885	nlpI		COG4785	Lipoprotein NlpI
GKLDPBFD_01401	CDS	2136	pnp	2.7.7.8	COG1185	Polyribonucleotide nucleotidyltransferase
GKLDPBFD_01402	CDS	270	rpsO		COG0184	30S ribosomal protein S15
GKLDPBFD_01403	CDS	945	truB	5.4.99.25	COG0130	tRNA pseudouridine synthase B
GKLDPBFD_01404	CDS	402	rbfA		COG0858	30S ribosome-binding factor
GKLDPBFD_01405	CDS	2673	infB		COG0532	Translation initiation factor IF-2
GKLDPBFD_01406	CDS	1488	nusA		COG0195	Transcription termination/antitermination protein NusA
GKLDPBFD_01407	CDS	453	rimP		COG0779	Ribosome maturation factor RimP
GKLDPBFD_01408	tRNA	77				tRNA-Met(cat)
GKLDPBFD_01409	CDS	1344	argG	6.3.4.5	COG0137	Argininosuccinate synthase
GKLDPBFD_01410	CDS	1188	yhbX_1	2.-.-.-	COG2194	Putative transferase YhbX
GKLDPBFD_01411	CDS	387	yhbX_2	2.-.-.-	COG2194	Putative transferase YhbX
GKLDPBFD_01412	tRNA	87				tRNA-Leu(gag)
GKLDPBFD_01413	CDS	333	secG		COG1314	Protein-export membrane protein SecG
GKLDPBFD_01414	CDS	1338	glmM	5.4.2.10	COG1109	Phosphoglucosamine mutase
GKLDPBFD_01415	CDS	849	folP	2.5.1.15	COG0294	Dihydropteroate synthase
GKLDPBFD_01416	CDS	1944	ftsH_1	3.4.24.-	COG0465	ATP-dependent zinc metalloprotease FtsH
GKLDPBFD_01417	CDS	630	rlmE	2.1.1.166	COG0293	Ribosomal RNA large subunit methyltransferase E
GKLDPBFD_01418	CDS	294	yhbY		COG1534	RNA-binding protein YhbY
GKLDPBFD_01419	CDS	477	greA		COG0782	Transcription elongation factor GreA
GKLDPBFD_01420	CDS	1434	dacB	3.4.16.4	COG2027	D-alanyl-D-alanine carboxypeptidase DacB
GKLDPBFD_01421	CDS	1173	obgE	3.6.5.-	COG0536	GTPase ObgE/CgtA
GKLDPBFD_01422	CDS	966	yhbE		COG0697	putative inner membrane transporter YhbE
GKLDPBFD_01423	CDS	258	rpmA		COG0211	50S ribosomal protein L27
GKLDPBFD_01424	CDS	312	rplU		COG0261	50S ribosomal protein L21
GKLDPBFD_01425	CDS	972	ispB	2.5.1.90	COG0142	Octaprenyl diphosphate synthase
GKLDPBFD_01426	CDS	279				hypothetical protein
GKLDPBFD_01427	CDS	1260	murA	2.5.1.7	COG0766	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
GKLDPBFD_01428	CDS	270	ibaG		COG5007	Acid stress protein IbaG
GKLDPBFD_01429	CDS	294	mlaB		COG3113	Intermembrane phospholipid transport system binding protein MlaB
GKLDPBFD_01430	CDS	636	mlaC		COG2854	Intermembrane phospholipid transport system binding protein MlaC
GKLDPBFD_01431	CDS	552	mlaD		COG1463	Intermembrane phospholipid transport system binding protein MlaD
GKLDPBFD_01432	CDS	783	mlaE		COG0767	Intermembrane phospholipid transport system permease protein MlaE
GKLDPBFD_01433	CDS	810	mlaF	3.6.3.-	COG1127	Intermembrane phospholipid transport system ATP-binding protein MlaF
GKLDPBFD_01434	CDS	978	yrbG		COG0530	Inner membrane protein YrbG
GKLDPBFD_01435	CDS	987	kdsD	5.3.1.13	COG0517	Arabinose 5-phosphate isomerase KdsD
GKLDPBFD_01436	CDS	567	kdsC	3.1.3.45	COG1778	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC
GKLDPBFD_01437	CDS	576	lptC		COG3117	Lipopolysaccharide export system protein LptC
GKLDPBFD_01438	CDS	558	lptA		COG1934	Lipopolysaccharide export system protein LptA
GKLDPBFD_01439	CDS	726	lptB_1	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
GKLDPBFD_01440	CDS	1434	rpoN		COG1508	RNA polymerase sigma-54 factor
GKLDPBFD_01441	CDS	288	hpf		COG1544	Ribosome hibernation promoting factor
GKLDPBFD_01442	CDS	492	ptsN		COG1762	Nitrogen regulatory protein
GKLDPBFD_01443	CDS	855	rapZ		COG1660	RNase adapter protein RapZ
GKLDPBFD_01444	CDS	273	ptsO		COG1925	Phosphocarrier protein NPr
GKLDPBFD_01445	CDS	633	yrbL			putative protein YrbL
GKLDPBFD_01446	CDS	729	mtgA	2.4.1.129	COG0744	Biosynthetic peptidoglycan transglycosylase
GKLDPBFD_01447	CDS	654	elbB	4.2.1.-	COG3155	Glyoxalase ElbB
GKLDPBFD_01448	CDS	2337	arcB	2.7.13.3	COG0642	Aerobic respiration control sensor protein ArcB
GKLDPBFD_01449	CDS	930				hypothetical protein
GKLDPBFD_01450	CDS	4554	gltB	1.4.1.13	COG0067	Glutamate synthase [NADPH] large chain
GKLDPBFD_01451	CDS	1419	gltD	1.4.1.13	COG0493	Glutamate synthase [NADPH] small chain
GKLDPBFD_01452	CDS	1128	yhcG	3.1.-.-	COG4804	Putative nuclease YhcG
GKLDPBFD_01453	CDS	465	yhcH_1		COG2731	putative protein YhcH
GKLDPBFD_01454	CDS	876	nanK	2.7.1.60	COG1940	N-acetylmannosamine kinase
GKLDPBFD_01455	CDS	690	nanE	5.1.3.9	COG3010	Putative N-acetylmannosamine-6-phosphate 2-epimerase
GKLDPBFD_01456	CDS	1491	nanT			Sialic acid transporter NanT
GKLDPBFD_01457	CDS	894	nanA	4.1.3.3	COG0329	N-acetylneuraminate lyase
GKLDPBFD_01458	CDS	792	nanR_1		COG2186	HTH-type transcriptional repressor NanR
GKLDPBFD_01459	CDS	1368	dcuD_1		COG3069	Putative cryptic C4-dicarboxylate transporter DcuD
GKLDPBFD_01460	CDS	498	sspB		COG2969	Stringent starvation protein B
GKLDPBFD_01461	CDS	639	sspA		COG0625	Stringent starvation protein A
GKLDPBFD_01462	CDS	393	rpsI		COG0103	30S ribosomal protein S9
GKLDPBFD_01463	CDS	429	rplM		COG0102	50S ribosomal protein L13
GKLDPBFD_01464	CDS	1128	zapE		COG1485	Cell division protein ZapE
GKLDPBFD_01465	CDS	399	yhcB		COG3105	Inner membrane protein YhcB
GKLDPBFD_01466	CDS	1368	degQ	3.4.21.107	COG0265	Periplasmic pH-dependent serine endoprotease DegQ
GKLDPBFD_01467	CDS	1068	degS	3.4.21.107	COG0265	Serine endoprotease DegS
GKLDPBFD_01468	CDS	939	mdh_2	1.1.1.37	COG0039	Malate dehydrogenase
GKLDPBFD_01469	CDS	471	argR		COG1438	Arginine repressor
GKLDPBFD_01470	CDS	264				hypothetical protein
GKLDPBFD_01471	CDS	273	yhcO		COG2732	putative protein YhcO
GKLDPBFD_01472	CDS	1968	aaeB_1		COG1289	p-hydroxybenzoic acid efflux pump subunit AaeB
GKLDPBFD_01473	CDS	933	aaeA_1		COG1566	p-hydroxybenzoic acid efflux pump subunit AaeA
GKLDPBFD_01474	CDS	204	aaeX			Protein AaeX
GKLDPBFD_01475	CDS	930	dmlR_3			HTH-type transcriptional regulator DmlR
GKLDPBFD_01476	CDS	1446	tldD	3.4.-.-	COG0312	Metalloprotease TldD
GKLDPBFD_01477	CDS	3801				hypothetical protein
GKLDPBFD_01478	CDS	1470	rng	3.1.26.-	COG1530	Ribonuclease G
GKLDPBFD_01479	CDS	594	yhdE	3.6.1.9	COG0424	dTTP/UTP pyrophosphatase
GKLDPBFD_01480	CDS	489	mreD		COG2891	Rod shape-determining protein MreD
GKLDPBFD_01481	CDS	1104	mreC		COG1792	Cell shape-determining protein MreC
GKLDPBFD_01482	CDS	1044	mreB		COG1077	Cell shape-determining protein MreB
GKLDPBFD_01483	CDS	1941	csrD			RNase E specificity factor CsrD
GKLDPBFD_01484	CDS	975	acuI	1.3.1.84	COG0604	putative acrylyl-CoA reductase AcuI
GKLDPBFD_01485	CDS	471	accB		COG0511	Biotin carboxyl carrier protein of acetyl-CoA carboxylase
GKLDPBFD_01486	CDS	1350	accC	6.3.4.14	COG0439	Biotin carboxylase
GKLDPBFD_01487	CDS	243	yhdT		COG3924	putative membrane protein YhdT
GKLDPBFD_01488	CDS	1452	panF		COG4145	Sodium/pantothenate symporter
GKLDPBFD_01489	CDS	882	prmA	2.1.1.-	COG2264	Ribosomal protein L11 methyltransferase
GKLDPBFD_01490	CDS	966	dusB	1.3.1.-	COG0042	tRNA-dihydrouridine synthase B
GKLDPBFD_01491	CDS	297	fis		COG2901	DNA-binding protein Fis
GKLDPBFD_01492	CDS	885	yhdJ	2.1.1.72	COG0863	DNA adenine methyltransferase YhdJ
GKLDPBFD_01493	CDS	180				hypothetical protein
GKLDPBFD_01494	CDS	663	acrR_1		COG1309	HTH-type transcriptional regulator AcrR
GKLDPBFD_01495	CDS	1158	acrE			Multidrug export protein AcrE
GKLDPBFD_01496	CDS	3105	acrF		COG0841	Multidrug export protein AcrF
GKLDPBFD_01497	CDS	291				hypothetical protein
GKLDPBFD_01498	CDS	222				hypothetical protein
GKLDPBFD_01499	CDS	1026	yhdW			Putative amino-acid ABC transporter-binding protein YhdW
GKLDPBFD_01500	CDS	1182				hypothetical protein
GKLDPBFD_01501	CDS	1104	yhdY		COG0765	Inner membrane amino-acid ABC transporter permease protein YhdY
GKLDPBFD_01502	CDS	759	glnQ_1			Glutamine transport ATP-binding protein GlnQ
GKLDPBFD_01503	rRNA	111				5S ribosomal RNA
GKLDPBFD_01504	tRNA	76				tRNA-Thr(ggt)
GKLDPBFD_01505	rRNA	111				5S ribosomal RNA
GKLDPBFD_01506	rRNA	2901				23S ribosomal RNA
GKLDPBFD_01507	tRNA	76				tRNA-Ala(tgc)
GKLDPBFD_01508	tRNA	77				tRNA-Ile(gat)
GKLDPBFD_01509	rRNA	1538				16S ribosomal RNA
GKLDPBFD_01510	CDS	555	yrdA_1		COG0663	Protein YrdA
GKLDPBFD_01511	CDS	258				hypothetical protein
GKLDPBFD_01512	CDS	819	aroE	1.1.1.25	COG0169	Shikimate dehydrogenase (NADP(+))
GKLDPBFD_01513	CDS	573	tsaC	2.7.7.87	COG0009	Threonylcarbamoyl-AMP synthase
GKLDPBFD_01514	CDS	543	topA_1	5.6.2.1	COG0550	DNA topoisomerase 1
GKLDPBFD_01515	CDS	474	smg			Protein Smg
GKLDPBFD_01516	CDS	1125				hypothetical protein
GKLDPBFD_01517	CDS	510	def	3.5.1.88	COG0242	Peptide deformylase
GKLDPBFD_01518	CDS	948	fmt	2.1.2.9	COG0223	Methionyl-tRNA formyltransferase
GKLDPBFD_01519	CDS	1290	rsmB	2.1.1.176	COG0144	Ribosomal RNA small subunit methyltransferase B
GKLDPBFD_01520	CDS	1377	trkA		COG0569	Trk system potassium uptake protein TrkA
GKLDPBFD_01521	CDS	411	mscL		COG1970	Large-conductance mechanosensitive channel
GKLDPBFD_01522	CDS	219	arfA		COG3036	Alternative ribosome-rescue factor A
GKLDPBFD_01523	CDS	426	zntR		COG0789	HTH-type transcriptional regulator ZntR
GKLDPBFD_01524	CDS	369				hypothetical protein
GKLDPBFD_01525	CDS	384	rplQ		COG0203	50S ribosomal protein L17
GKLDPBFD_01526	CDS	990	rpoA	2.7.7.6	COG0202	DNA-directed RNA polymerase subunit alpha
GKLDPBFD_01527	CDS	621	rpsD		COG0522	30S ribosomal protein S4
GKLDPBFD_01528	CDS	390	rpsK		COG0100	30S ribosomal protein S11
GKLDPBFD_01529	CDS	357	rpsM		COG0099	30S ribosomal protein S13
GKLDPBFD_01530	CDS	117	rpmJ		COG0257	50S ribosomal protein L36
GKLDPBFD_01531	CDS	1332	secY		COG0201	Protein translocase subunit SecY
GKLDPBFD_01532	CDS	435	rplO		COG0200	50S ribosomal protein L15
GKLDPBFD_01533	CDS	180	rpmD		COG1841	50S ribosomal protein L30
GKLDPBFD_01534	CDS	504	rpsE		COG0098	30S ribosomal protein S5
GKLDPBFD_01535	CDS	354	rplR		COG0256	50S ribosomal protein L18
GKLDPBFD_01536	CDS	534	rplF		COG0097	50S ribosomal protein L6
GKLDPBFD_01537	CDS	393	rpsH		COG0096	30S ribosomal protein S8
GKLDPBFD_01538	CDS	306	rpsN		COG0199	30S ribosomal protein S14
GKLDPBFD_01539	CDS	540	rplE		COG0094	50S ribosomal protein L5
GKLDPBFD_01540	CDS	315	rplX		COG0198	50S ribosomal protein L24
GKLDPBFD_01541	CDS	372	rplN		COG0093	50S ribosomal protein L14
GKLDPBFD_01542	CDS	255	rpsQ		COG0186	30S ribosomal protein S17
GKLDPBFD_01543	CDS	192	rpmC		COG0255	50S ribosomal protein L29
GKLDPBFD_01544	CDS	411	rplP		COG0197	50S ribosomal protein L16
GKLDPBFD_01545	CDS	702	rpsC		COG0092	30S ribosomal protein S3
GKLDPBFD_01546	CDS	333	rplV		COG0091	50S ribosomal protein L22
GKLDPBFD_01547	CDS	279	rpsS		COG0185	30S ribosomal protein S19
GKLDPBFD_01548	CDS	822	rplB		COG0090	50S ribosomal protein L2
GKLDPBFD_01549	CDS	303	rplW		COG0089	50S ribosomal protein L23
GKLDPBFD_01550	CDS	606	rplD		COG0088	50S ribosomal protein L4
GKLDPBFD_01551	CDS	630	rplC		COG0087	50S ribosomal protein L3
GKLDPBFD_01552	CDS	312	rpsJ		COG0051	30S ribosomal protein S10
GKLDPBFD_01553	CDS	420	gspB			Putative general secretion pathway protein B
GKLDPBFD_01554	CDS	1470	gspA_1			Putative general secretion pathway protein A
GKLDPBFD_01555	CDS	816	gspC		COG3031	Putative type II secretion system protein C
GKLDPBFD_01556	CDS	1053	gspD_1		COG1450	Putative secretin GspD
GKLDPBFD_01557	CDS	912	gspD_2		COG1450	Putative secretin GspD
GKLDPBFD_01558	CDS	1482	gspE		COG2804	Putative type II secretion system protein E
GKLDPBFD_01559	CDS	1197	gspF		COG1459	Putative type II secretion system protein F
GKLDPBFD_01560	CDS	438	gspG		COG2165	Putative type II secretion system protein G
GKLDPBFD_01561	CDS	510	gspH		COG2165	Putative type II secretion system protein H
GKLDPBFD_01562	CDS	378	gspI		COG2165	Putative type II secretion system protein I
GKLDPBFD_01563	CDS	588	gspJ		COG4795	Putative type II secretion system protein J
GKLDPBFD_01564	CDS	984	gspK_2		COG3156	Putative type II secretion system protein K
GKLDPBFD_01565	CDS	1164	gspL		COG3297	Putative type II secretion system protein L
GKLDPBFD_01566	CDS	462	gspM			Putative type II secretion system protein M
GKLDPBFD_01567	CDS	678	gspO		COG1989	Type 4 prepilin-like proteins leader peptide-processing enzyme
